"Date","Price","Open","High","Low","Change %"
"09/07/2015","13.902","13.902","13.902","13.902","0.00%"
"09/04/2015","13.902","13.902","13.902","13.902","0.00%"
"09/03/2015","13.902","13.902","13.902","13.902","0.00%"
"09/02/2015","13.902","13.902","13.902","13.902","0.00%"
"09/01/2015","13.902","13.902","13.902","13.902","0.00%"
"08/31/2015","13.902","13.902","13.902","13.902","0.00%"
"08/28/2015","13.902","13.902","13.902","13.902","0.00%"
"08/27/2015","13.902","13.902","13.902","13.902","0.00%"
"08/26/2015","13.902","13.902","13.902","13.902","0.00%"
"08/25/2015","13.902","13.902","13.902","13.902","0.00%"
"08/24/2015","13.902","13.902","13.902","13.902","0.53%"
"08/21/2015","13.829","13.829","13.829","13.829","0.00%"
"08/20/2015","13.829","13.829","13.829","13.829","3.46%"
"08/19/2015","13.366","13.366","13.366","13.366","0.00%"
"08/18/2015","13.366","13.366","13.366","13.366","0.00%"
"08/17/2015","13.366","13.366","13.366","13.366","0.00%"
"08/14/2015","13.366","13.366","13.366","13.366","0.00%"
"08/13/2015","13.366","13.366","13.366","13.366","0.00%"
"08/12/2015","13.366","13.366","13.366","13.366","0.00%"
"08/11/2015","13.366","13.366","13.366","13.366","0.00%"
"08/10/2015","13.366","13.366","13.366","13.366","0.00%"
"08/07/2015","13.366","13.366","13.366","13.366","0.00%"
"08/06/2015","13.366","13.366","13.366","13.366","0.00%"
"08/05/2015","13.366","13.366","13.366","13.366","0.00%"
"08/04/2015","13.366","13.366","13.366","13.366","-0.13%"
"08/03/2015","13.384","13.384","13.384","13.384","0.00%"
"07/31/2015","13.384","13.384","13.384","13.384","0.00%"
"07/30/2015","13.384","13.384","13.384","13.384","0.00%"
"07/29/2015","13.384","13.384","13.384","13.384","0.00%"
"07/28/2015","13.384","13.384","13.384","13.384","0.00%"
"07/27/2015","13.384","13.384","13.384","13.384","0.00%"
"07/24/2015","13.384","13.384","13.384","13.384","0.00%"
"07/23/2015","13.384","13.384","13.384","13.384","3.16%"
"07/22/2015","12.974","12.974","12.974","12.974","-3.06%"
"07/21/2015","13.384","13.384","13.384","13.384","-1.76%"
"07/20/2015","13.624","13.624","13.624","13.624","0.00%"
"07/18/2015","13.624","13.624","13.624","13.624","-83.01%"
"07/17/2015","80.174","77.931","80.174","77.931","517.96%"
"07/16/2015","12.974","13.384","13.384","12.974","-3.06%"
"07/15/2015","13.384","13.384","13.384","13.384","0.00%"
"07/14/2015","13.384","13.384","13.384","13.384","3.16%"
"07/13/2015","12.974","12.974","12.974","12.974","-3.06%"
"07/10/2015","13.384","13.384","13.384","13.384","0.00%"
"07/09/2015","13.384","13.384","13.384","13.384","0.00%"
"07/08/2015","13.384","13.384","13.384","13.384","0.00%"
"07/07/2015","13.384","13.384","13.384","13.384","0.00%"
"07/06/2015","13.384","13.384","13.384","13.384","0.00%"
"07/03/2015","13.384","13.384","13.384","13.384","0.00%"
"07/02/2015","13.384","13.384","13.384","13.384","0.00%"
"07/01/2015","13.384","13.384","13.384","13.384","0.00%"
"06/30/2015","13.384","13.384","13.384","13.384","0.62%"
"06/29/2015","13.302","13.302","13.302","13.302","0.00%"
"06/26/2015","13.302","13.302","13.302","13.302","0.00%"
"06/25/2015","13.302","13.302","13.302","13.302","0.00%"
"06/24/2015","13.302","13.302","13.302","13.302","0.00%"
"06/23/2015","13.302","13.302","13.302","13.302","0.00%"
"06/22/2015","13.302","13.302","13.302","13.302","0.00%"
"06/19/2015","13.302","13.302","13.302","13.302","-0.48%"
"06/18/2015","13.366","13.366","13.366","13.366","0.48%"
"06/17/2015","13.302","13.302","13.302","13.302","0.00%"
"06/16/2015","13.302","13.302","13.302","13.302","0.00%"
"06/15/2015","13.302","13.302","13.302","13.302","2.04%"
"06/12/2015","13.036","13.036","13.036","13.036","0.00%"
"06/11/2015","13.036","13.036","13.036","13.036","0.00%"
"06/10/2015","13.036","13.036","13.036","13.036","0.00%"
"06/09/2015","13.036","13.036","13.036","13.036","0.00%"
"06/08/2015","13.036","13.036","13.036","13.036","0.00%"
"06/07/2015","13.036","13.036","13.036","13.036","0.00%"
"06/05/2015","13.036","13.036","13.036","13.036","0.00%"
"06/04/2015","13.036","13.036","13.036","13.036","0.00%"
"06/03/2015","13.036","13.036","13.036","13.036","0.48%"
"06/02/2015","12.974","12.974","12.974","12.974","-0.48%"
"06/01/2015","13.036","13.036","13.036","13.036","0.00%"
"05/30/2015","13.036","13.036","13.036","13.036","0.00%"
"05/29/2015","13.036","13.036","13.036","13.036","0.00%"
"05/28/2015","13.036","13.036","13.036","13.036","0.00%"
"05/27/2015","13.036","13.036","13.036","13.036","0.00%"
"05/26/2015","13.036","13.036","13.036","13.036","0.48%"
"05/25/2015","12.974","12.974","12.974","12.974","0.00%"
"05/22/2015","12.974","12.974","12.974","12.974","-1.48%"
"05/21/2015","13.169","13.169","13.169","13.169","0.00%"
"05/20/2015","13.169","13.169","13.169","13.169","0.00%"
"05/19/2015","13.169","13.169","13.169","13.169","0.00%"
"05/18/2015","13.169","13.169","13.169","13.169","1.50%"
"05/15/2015","12.974","12.974","12.974","12.974","-0.35%"
"05/14/2015","13.019","13.019","13.019","13.019","0.00%"
"05/13/2015","13.019","13.019","13.019","13.019","0.00%"
"05/12/2015","13.019","13.019","13.019","13.019","0.00%"
"05/11/2015","13.019","13.019","13.019","13.019","-2.38%"
"05/08/2015","13.336","13.336","13.336","13.336","0.00%"
"05/07/2015","13.336","13.336","13.336","13.336","2.43%"
"05/06/2015","13.019","13.019","13.019","13.019","0.35%"
"05/05/2015","12.974","12.910","12.974","12.910","-0.35%"
